search_board_type Mt.Jade
./sshpass -p Ampere@4655 ssh -o StrictHostKeyChecking=no -t amplab@10.38.162.2 'ipmitool -H 10.38.162.44 -U ADMIN -P ADMIN  sel list'
Pseudo-terminal will not be allocated because stdin is not a terminal.
   1 | 04/27/2021 | 10:42:20 | Power Supply #0xf8 | Presence detected | Deasserted
 12b | 04/28/2021 | 02:03:24 | OEM record c0 | 00cd3a | cbe57001ffff
 12c | 04/28/2021 | 02:03:24 | System ACPI Power State #0x7a | S0/G0: working | Asserted
 12d | 04/28/2021 | 02:03:24 | System ACPI Power State #0x8a | S0/G0: working | Asserted
 12e | 04/28/2021 | 02:03:24 | OEM record c0 | 00cd3a | 0feb70020000
 12f | 04/28/2021 | 02:03:24 | OEM record c0 | 00cd3a | ca8f7101ffff
 130 | 04/28/2021 | 02:03:24 | OEM record c0 | 00cd3a | ca90f101ffff
 131 | 04/28/2021 | 02:03:25 | OEM record c0 | 00cd3a | 0feb70120000
 132 | 04/28/2021 | 02:03:25 | OEM record c0 | 00cd3a | ca8ff101ffff
 133 | 04/28/2021 | 02:03:43 | OEM record c0 | 00cd3a | 0feb70220000
 134 | 04/28/2021 | 02:03:44 | OEM record c0 | 00cd3a | 0feb70320000
 135 | 04/28/2021 | 02:03:46 | OEM record c0 | 00cd3a | 0feb70520000
 136 | 04/28/2021 | 02:03:47 | OEM record c0 | 00cd3a | 0feb70620000
 137 | 04/28/2021 | 02:04:20 | OEM record c0 | 00cd3a | 0feb70820000
 138 | 04/28/2021 | 02:04:20 | System Firmwares #0xe4 | System boot initiated | Asserted
 139 | 04/28/2021 | 02:06:33 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
 13a | 04/28/2021 | 02:06:33 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
 13b | 04/28/2021 | 02:08:34 | OEM record c0 | 00cd3a | cbe570ffffff
 13c | 04/28/2021 | 02:08:51 | OEM record c0 | 00cd3a | ca907101ffff
 13d | 04/28/2021 | 02:08:52 | OEM record c0 | 00cd3a | cbe57001ffff
 13e | 04/28/2021 | 02:08:52 | System ACPI Power State #0x7a | S0/G0: working | Asserted
 13f | 04/28/2021 | 02:08:52 | System ACPI Power State #0x8a | S0/G0: working | Asserted
 140 | 04/28/2021 | 02:08:52 | OEM record c0 | 00cd3a | 0feb70020000
 141 | 04/28/2021 | 02:08:52 | OEM record c0 | 00cd3a | ca8f7101ffff
 142 | 04/28/2021 | 02:08:52 | OEM record c0 | 00cd3a | ca90f101ffff
 143 | 04/28/2021 | 02:08:53 | OEM record c0 | 00cd3a | 0feb70120000
 144 | 04/28/2021 | 02:08:53 | OEM record c0 | 00cd3a | ca8ff101ffff
 145 | 04/28/2021 | 02:09:10 | OEM record c0 | 00cd3a | 0feb70220000
 146 | 04/28/2021 | 02:09:11 | OEM record c0 | 00cd3a | 0feb70320000
 147 | 04/28/2021 | 02:09:13 | OEM record c0 | 00cd3a | 0feb70520000
 148 | 04/28/2021 | 02:09:14 | OEM record c0 | 00cd3a | 0feb70620000
 149 | 04/28/2021 | 02:09:50 | OEM record c0 | 00cd3a | 0feb70820000
 14a | 04/28/2021 | 02:09:50 | System Firmwares #0xe4 | System boot initiated | Asserted
 14b | 04/28/2021 | 02:13:18 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
 14c | 04/28/2021 | 02:13:18 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
 14d | 04/28/2021 | 02:17:36 | OEM record c0 | 00cd3a | cbe570ffffff
 14e | 04/28/2021 | 02:17:53 | OEM record c0 | 00cd3a | ca907101ffff
 14f | 04/28/2021 | 02:17:54 | OEM record c0 | 00cd3a | cbe57001ffff
 150 | 04/28/2021 | 02:17:54 | System ACPI Power State #0x7a | S0/G0: working | Asserted
 151 | 04/28/2021 | 02:17:54 | System ACPI Power State #0x8a | S0/G0: working | Asserted
 152 | 04/28/2021 | 02:17:54 | OEM record c0 | 00cd3a | 0feb70020000
 153 | 04/28/2021 | 02:17:54 | OEM record c0 | 00cd3a | ca8f7101ffff
 154 | 04/28/2021 | 02:17:54 | OEM record c0 | 00cd3a | ca90f101ffff
 155 | 04/28/2021 | 02:17:55 | OEM record c0 | 00cd3a | 0feb70120000
 156 | 04/28/2021 | 02:17:55 | OEM record c0 | 00cd3a | ca8ff101ffff
 157 | 04/28/2021 | 02:18:13 | OEM record c0 | 00cd3a | 0feb70220000
 158 | 04/28/2021 | 02:18:14 | OEM record c0 | 00cd3a | 0feb70320000
 159 | 04/28/2021 | 02:18:16 | OEM record c0 | 00cd3a | 0feb70520000
 15a | 04/28/2021 | 02:18:17 | OEM record c0 | 00cd3a | 0feb70620000
 15b | 04/28/2021 | 02:18:54 | OEM record c0 | 00cd3a | 0feb70820000
 15c | 04/28/2021 | 02:18:54 | System Firmwares #0xe4 | System boot initiated | Asserted
