search_board_type Mt.Snow
ipmitool -H 10.38.165.35 -U admin -P password  sel list
   1 | 03/25/2021 | 00:01:57 | Drive Slot #0x01 | Drive Present | Asserted
 135 | 03/25/2021 | 17:45:42 | Voltage #0x5d | Lower Critical going low  | Deasserted
 136 | 03/25/2021 | 17:45:42 | Voltage #0x5d | Lower Non-critical going low  | Deasserted
 137 | 03/25/2021 | 17:45:42 | Voltage #0x5d | Upper Non-critical going high | Asserted
 138 | 03/25/2021 | 17:45:50 | Voltage #0x4a | Upper Non-critical going high | Asserted
 139 | 03/25/2021 | 17:45:50 | Voltage #0x4b | Upper Non-critical going high | Asserted
 13a | 03/25/2021 | 18:16:03 | Power Unit #0xff | Power off/down | Asserted
 13b | 03/25/2021 | 18:16:18 | OEM record c1 | 000000 | 06000a260d66
 13c | 03/25/2021 | 18:16:34 | OEM record c1 | 000000 | 06000a260d66
 13d | 03/25/2021 | 18:17:44 | System Event | OEM System boot event | Asserted
 13e | 03/25/2021 | 18:17:53 | OS Boot #0x22 | boot completed - device not specified | Asserted
 13f | 03/25/2021 | 18:18:49 | Voltage #0x58 | Lower Non-critical going low  | Asserted
 140 | 03/25/2021 | 18:18:49 | Voltage #0x58 | Lower Critical going low  | Asserted
 141 | 03/25/2021 | 18:52:33 | Power Unit #0xff | Power off/down | Asserted
 142 | 03/25/2021 | 18:52:48 | OEM record c1 | 000000 | 06000a260d66
 143 | 03/25/2021 | 18:53:05 | OEM record c1 | 000000 | 06000a260d66
 144 | 03/25/2021 | 18:54:13 | System Event | OEM System boot event | Asserted
 145 | 03/25/2021 | 18:54:23 | OS Boot #0x22 | boot completed - device not specified | Asserted
 146 | 03/25/2021 | 18:55:07 | Voltage #0x58 | Lower Critical going low  | Deasserted
 147 | 03/25/2021 | 18:55:07 | Voltage #0x58 | Lower Non-critical going low  | Deasserted
 148 | 03/26/2021 | 01:12:43 | Power Unit #0xff | Power off/down | Asserted
 149 | 03/26/2021 | 01:16:46 | System Event | OEM System boot event | Asserted
 14a | 03/26/2021 | 01:16:55 | OS Boot #0x22 | boot completed - device not specified | Asserted
 14b | 03/26/2021 | 01:17:34 | Reserved #0x6f | Transition to OK | Asserted
 14c | 03/26/2021 | 01:25:40 | Reserved #0x6f | Device Absent | Asserted
 14d | 03/26/2021 | 01:26:10 | Voltage #0x4f | Upper Critical going high | Deasserted
 14e | 03/26/2021 | 01:26:17 | Voltage #0x5a | Upper Critical going high | Asserted
 14f | 03/26/2021 | 01:26:17 | Voltage #0x5d | Upper Critical going high | Asserted
 150 | 03/26/2021 | 01:26:22 | Temperature #0x01 | Lower Non-critical going low  | Asserted
 151 | 03/26/2021 | 01:26:22 | Temperature #0x01 | Lower Critical going low  | Asserted
 152 | 03/26/2021 | 01:26:22 | Temperature #0x02 | Lower Non-critical going low  | Asserted
 153 | 03/26/2021 | 01:26:22 | Temperature #0x02 | Lower Critical going low  | Asserted
 154 | 03/26/2021 | 01:26:22 | Power Unit #0xd2 | Upper Non-critical going high | Asserted
 155 | 03/26/2021 | 01:26:23 | Power Unit #0xd2 | Upper Critical going high | Asserted
 156 | 03/26/2021 | 01:26:29 | Voltage #0x4f | Upper Critical going high | Asserted
 157 | 03/26/2021 | 01:26:29 | Voltage #0x58 | Upper Non-critical going high | Asserted
 158 | 03/26/2021 | 01:26:29 | Voltage #0x58 | Upper Critical going high | Asserted
 159 | 03/26/2021 | 01:26:29 | Voltage #0x59 | Upper Non-critical going high | Asserted
 15a | 03/26/2021 | 01:26:29 | Voltage #0x59 | Upper Critical going high | Asserted
 15b | 03/26/2021 | 01:26:36 | Temperature #0x01 | Lower Critical going low  | Deasserted
 15c | 03/26/2021 | 01:26:36 | Temperature #0x01 | Lower Non-critical going low  | Deasserted
 15d | 03/26/2021 | 01:26:36 | Temperature #0x02 | Lower Critical going low  | Deasserted
 15e | 03/26/2021 | 01:26:36 | Temperature #0x02 | Lower Non-critical going low  | Deasserted
 15f | 03/26/2021 | 01:26:37 | Voltage #0x59 | Upper Critical going high | Deasserted
 160 | 03/26/2021 | 01:26:37 | Voltage #0x59 | Upper Non-critical going high | Deasserted
 161 | 03/26/2021 | 01:26:37 | Power Unit #0xd2 | Upper Critical going high | Deasserted
 162 | 03/26/2021 | 01:26:37 | Power Unit #0xd2 | Upper Non-critical going high | Deasserted
 163 | 03/26/2021 | 01:28:46 | System Event | OEM System boot event | Asserted
 164 | 03/26/2021 | 01:28:55 | OS Boot #0x22 | boot completed - device not specified | Asserted
 165 | 03/26/2021 | 01:30:12 | Power Unit #0xff | Power off/down | Asserted
 166 | 03/26/2021 | 01:30:12 | Voltage #0x4a | Upper Non-critical going high | Deasserted
 167 | 03/26/2021 | 01:30:12 | Voltage #0x4a | Lower Non-critical going low  | Asserted
 168 | 03/26/2021 | 01:30:12 | Voltage #0x4a | Lower Critical going low  | Asserted
 169 | 03/26/2021 | 01:30:12 | Voltage #0x4b | Upper Non-critical going high | Deasserted
 16a | 03/26/2021 | 01:30:12 | Voltage #0x4b | Lower Non-critical going low  | Asserted
 16b | 03/26/2021 | 01:30:12 | Voltage #0x4b | Lower Critical going low  | Asserted
 16c | 03/26/2021 | 01:30:12 | Voltage #0x4f | Upper Critical going high | Deasserted
 16d | 03/26/2021 | 01:30:12 | Voltage #0x4f | Upper Non-critical going high | Deasserted
 16e | 03/26/2021 | 01:30:12 | Voltage #0x4f | Lower Non-critical going low  | Asserted
 16f | 03/26/2021 | 01:30:12 | Voltage #0x4f | Lower Critical going low  | Asserted
 170 | 03/26/2021 | 01:53:33 | OEM record c1 | 000000 | 06000a260d66
 171 | 03/26/2021 | 01:53:38 | OEM record c1 | 000000 | 06000a260d66
 172 | 03/26/2021 | 01:54:55 | OEM record c1 | 000000 | 06000a260d66
 173 | 03/26/2021 | 01:56:12 | OEM record c1 | 000000 | 06000a260d66
 174 | 03/26/2021 | 01:56:20 | OEM record c1 | 000000 | 06000a260d66
 175 | 03/26/2021 | 01:58:27 | OEM record c1 | 000000 | 06000a260d66
 176 | 03/26/2021 | 01:58:58 | OEM record c1 | 000000 | 06000a260d66
 177 | 03/26/2021 | 01:59:07 | OEM record c1 | 000000 | 06000a260d66
 178 | 03/26/2021 | 02:01:04 | Voltage #0x4a | Lower Critical going low  | Deasserted
 179 | 03/26/2021 | 02:01:04 | Voltage #0x4a | Lower Non-critical going low  | Deasserted
 17a | 03/26/2021 | 02:01:04 | Voltage #0x4b | Lower Critical going low  | Deasserted
 17b | 03/26/2021 | 02:01:04 | Voltage #0x4b | Lower Non-critical going low  | Deasserted
 17c | 03/26/2021 | 02:01:04 | Voltage #0x4f | Lower Critical going low  | Deasserted
 17d | 03/26/2021 | 02:01:04 | Voltage #0x4f | Lower Non-critical going low  | Deasserted
 17e | 03/26/2021 | 02:01:04 | Voltage #0x4f | Upper Non-critical going high | Asserted
 17f | 03/26/2021 | 02:01:04 | Voltage #0x4f | Upper Critical going high | Asserted
 180 | 03/26/2021 | 02:01:05 | Voltage #0x5a | Upper Critical going high | Deasserted
 181 | 03/26/2021 | 02:01:05 | Voltage #0x5a | Upper Non-critical going high | Deasserted
 182 | 03/26/2021 | 02:01:05 | Voltage #0x5a | Lower Non-critical going low  | Asserted
 183 | 03/26/2021 | 02:01:05 | Voltage #0x5a | Lower Critical going low  | Asserted
 184 | 03/26/2021 | 02:01:05 | Voltage #0x5d | Upper Critical going high | Deasserted
 185 | 03/26/2021 | 02:01:05 | Voltage #0x5d | Upper Non-critical going high | Deasserted
 186 | 03/26/2021 | 02:01:05 | Voltage #0x5d | Lower Non-critical going low  | Asserted
 187 | 03/26/2021 | 02:01:05 | Voltage #0x5d | Lower Critical going low  | Asserted
 188 | 03/26/2021 | 02:01:10 | Temperature #0x06 | Lower Non-critical going low  | Asserted
 189 | 03/26/2021 | 02:01:10 | Temperature #0x06 | Lower Critical going low  | Asserted
 18a | 03/26/2021 | 02:01:16 | Voltage #0x58 | Upper Critical going high | Deasserted
 18b | 03/26/2021 | 02:01:16 | Voltage #0x58 | Upper Non-critical going high | Deasserted
 18c | 03/26/2021 | 02:01:16 | Voltage #0x58 | Lower Non-critical going low  | Asserted
 18d | 03/26/2021 | 02:01:16 | Voltage #0x58 | Lower Critical going low  | Asserted
 18e | 03/26/2021 | 02:01:16 | Voltage #0x59 | Lower Non-critical going low  | Asserted
 18f | 03/26/2021 | 02:01:16 | Voltage #0x59 | Lower Critical going low  | Asserted
